submission_num,submission_date,state,total_cases,confirmed_cases,probable_cases,new_case,probable_new_cases,consent_cases,consent_deaths,total_deaths,confirmed_deaths,probable_deaths,new_deaths,probable_new_deaths
26106,4/1/2021,CA,3570660,3570660,0,2234,0,Agree,Agree,58090,58090,0,154,0
29706,5/31/2021,CA,3685032,3685032,0,644,0,Agree,Agree,62011,62011,0,5,0
934,2/6/2020,NE,0,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
11425,7/30/2020,ME,3910,3497,413,22,2,Agree,Agree,123,122,1,2,0
22650,2/2/2021,MS,280182,176228,103954,1059,559,Agree,Agree,6730,4739,1991,13,7
6155,5/3/2020,NH,2518,NULL,NULL,89,0,Not agree,Not agree,86,NULL,NULL,2,0
28778,5/15/2021,NV,320719,320719,0,180,0,Agree,NULL,5530,NULL,NULL,0,0
28879,5/17/2021,IN,735999,NULL,NULL,537,0,Not agree,Agree,13460,13044,416,6,0
24062,2/26/2021,AL,492393,388404,103989,903,256,Agree,Agree,10523,8396,2127,29,8
24572,3/6/2021,NC,875359,760095,115264,1614,450,Agree,Agree,12363,10933,1430,16,2
326,1/27/2020,MI,0,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
23348,2/14/2021,CT,267337,250915,16422,0,0,Agree,Agree,7381,6049,1332,0,0
14338,9/16/2020,WI,98440,92712,5728,1502,94,Agree,Agree,1237,1228,9,8,0
12306,8/14/2020,CA,601075,601075,0,7934,0,Agree,Agree,10831,10831,0,165,0
30273,6/9/2021,ND,110351,101268,9083,53,16,Agree,Not agree,1517,NULL,NULL,0,0
6608,5/11/2020,CT,33765,31955,1810,211,-30,Agree,Agree,3008,2294,714,41,-10
14128,9/13/2020,MO,108944,NULL,NULL,663,18,Not agree,Not agree,2132,NULL,NULL,19,0
37108,10/1/2021,MO,823346,NULL,NULL,1724,402,Not agree,Not agree,11522,NULL,NULL,7,0
28530,5/11/2021,MS,315128,193042,122086,206,76,Agree,Agree,7367,5084,2283,4,2
18662,11/28/2020,AL,244788,205752,39036,2162,349,Agree,Agree,5302,4475,827,37,8
9970,7/6/2020,DE,12583,11656,927,119,0,Agree,Agree,514,457,57,2,0
2878,3/9/2020,WI,1,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
27918,5/1/2021,IL,1337868,1337868,0,2813,0,Agree,Agree,24330,21992,2338,39,7
31566,7/1/2021,CA,3712152,3712152,0,1698,0,Agree,Agree,63096,63096,0,73,0
2013,2/24/2020,ND,0,NULL,NULL,0,NULL,Agree,Not agree,0,NULL,NULL,0,NULL
3265,3/16/2020,ME,19,NULL,NULL,5,NULL,Agree,Agree,0,NULL,NULL,0,NULL
12497,8/17/2020,ID,27942,26091,1851,282,32,Agree,Agree,273,245,28,4,0
38438,10/23/2021,NV,445677,434898,10779,0,0,Agree,NULL,7523,NULL,NULL,0,0
28648,5/13/2021,MO,592512,NULL,NULL,463,113,Not agree,Not agree,8993,NULL,NULL,2,0
32068,7/9/2021,MO,631603,NULL,NULL,1639,472,Not agree,Not agree,9387,NULL,NULL,4,0
13226,8/29/2020,MI,203619,184816,18803,970,92,Agree,Agree,6817,6499,318,4,0
16828,10/28/2020,MO,194250,NULL,NULL,3507,304,Not agree,Not agree,3389,NULL,NULL,32,0
35818,9/9/2021,WI,751195,675908,75287,2095,435,Agree,Agree,8589,7717,872,32,1
25654,3/24/2021,NE,208544,NULL,NULL,354,0,Not agree,Not agree,2159,NULL,NULL,9,0
18632,11/27/2020,NC,364576,341679,22897,767,98,Agree,Agree,5724,5520,204,42,8
5132,4/16/2020,NC,6209,6203,6,377,1,Agree,Agree,181,181,0,23,0
25495,3/21/2021,VI,2858,NULL,NULL,6,0,NULL,NULL,25,NULL,NULL,0,0
22219,1/26/2021,IN,615471,NULL,NULL,1730,0,Not agree,Agree,10411,10080,331,453,0
34748,8/23/2021,CT,367410,334476,32934,518,53,Agree,Agree,8335,6863,1472,-2,0
4224,4/1/2020,MD,1985,NULL,NULL,325,NULL,NULL,NULL,53,51,2,9,1
31918,7/6/2021,WI,678048,613152,64896,40,5,Agree,Agree,8144,7323,821,0,0
13256,8/29/2020,VT,1464,NULL,NULL,12,0,Not agree,Not agree,57,NULL,NULL,0,0
8898,6/18/2020,IL,135639,134778,861,593,0,Agree,Agree,6718,6537,181,52,0
28146,5/5/2021,CA,3646729,3646729,0,1388,0,Agree,Agree,60862,60862,0,97,0
16344,10/20/2020,MD,137236,NULL,NULL,492,0,NULL,NULL,4198,4041,157,12,0
7588,5/27/2020,MO,13208,NULL,NULL,262,0,Not agree,Not agree,858,NULL,NULL,8,0
36379,9/19/2021,IN,931924,NULL,NULL,2660,0,Not agree,Agree,15147,14675,472,0,0
12934,8/24/2020,NE,32257,NULL,NULL,340,0,Not agree,Not agree,383,NULL,NULL,5,0
29474,5/27/2021,GU,8156,NULL,NULL,2,0,Not agree,Not agree,139,NULL,NULL,0,0
62,1/23/2020,AL,0,0,0,0,0,Agree,Agree,0,0,0,0,0
4058,3/29/2020,NV,920,NULL,NULL,182,NULL,Agree,NULL,15,NULL,NULL,1,NULL
22442,1/30/2021,AL,458330,364807,93523,1843,304,Agree,Agree,9546,7628,1918,67,20
35046,8/28/2021,CA,4370175,4186261,183914,15157,0,Agree,Agree,65139,65139,0,106,0
537,1/30/2020,WA,1,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,NULL
33078,7/26/2021,IL,1411821,1411821,0,1298,0,Agree,Agree,25881,23409,2472,6,2
37533,10/8/2021,ND,137678,119955,17723,552,196,Agree,Not agree,1642,NULL,NULL,7,0
33334,7/30/2021,NE,228800,NULL,NULL,311,0,Not agree,Not agree,2280,NULL,NULL,0,0
11106,7/25/2020,CA,445400,445400,0,10572,0,Agree,Agree,8242,8242,0,146,0
37519,10/8/2021,IN,982444,NULL,NULL,3444,0,Not agree,Agree,15975,15463,512,30,2
29650,5/30/2021,DE,108846,101377,7469,46,6,Agree,Agree,1661,1519,142,0,0
29468,5/27/2021,CT,347137,317892,29245,157,35,Agree,Agree,8230,6771,1459,3,2
27008,4/16/2021,CT,329062,302775,26287,1062,208,Agree,Agree,7995,6578,1417,5,1
38418,10/23/2021,IL,1680908,1680908,0,0,0,Agree,Agree,28414,25590,2824,0,0
35762,9/9/2021,AL,739541,561593,177948,5044,2089,Agree,Agree,13915,10798,3117,67,15
15418,10/4/2020,WI,139928,132663,7265,1926,61,Agree,Agree,1388,1377,11,5,0
36657,9/23/2021,WA,637367,NULL,NULL,4089,884,NULL,NULL,7434,NULL,NULL,61,0
36334,9/18/2021,NE,258993,258993,0,603,0,Agree,Agree,2375,2375,0,2,0
34570,8/20/2021,DE,116073,107459,8614,408,49,Agree,Agree,1851,1694,157,0,0
956,2/6/2020,VT,0,NULL,NULL,0,NULL,Not agree,Not agree,0,NULL,NULL,0,NULL
26311,4/4/2021,MT,105142,97760,7382,105,8,Agree,Agree,1466,1466,0,1,0
36655,9/23/2021,VI,6589,NULL,NULL,32,0,NULL,NULL,69,NULL,NULL,0,0
9395,6/26/2020,NH,5638,NULL,NULL,0,0,Not agree,Not agree,357,NULL,NULL,0,0
10098,7/8/2020,IL,150554,149432,1122,980,0,Agree,Agree,7309,7099,210,36,0
34196,8/13/2021,VT,24361,NULL,NULL,81,0,Not agree,Not agree,256,NULL,NULL,0,0
39296,11/6/2021,VT,38586,NULL,NULL,0,0,Not agree,Not agree,366,NULL,NULL,0,0
23539,2/17/2021,IN,652242,NULL,NULL,935,0,Not agree,Agree,12214,11842,372,19,0
14138,9/13/2020,NV,73766,73537,229,317,0,Agree,NULL,1487,NULL,NULL,3,0
31055,6/22/2021,NH,99348,NULL,NULL,19,0,Not agree,Not agree,1368,NULL,NULL,1,0
11795,8/5/2020,NH,6719,NULL,NULL,26,0,Not agree,Not agree,418,NULL,NULL,0,0
10773,7/19/2020,ND,5126,5126,0,107,0,Agree,Not agree,93,NULL,NULL,1,0
7879,6/1/2020,IN,34830,NULL,NULL,256,0,Not agree,Agree,2129,1970,159,8,0
5757,4/26/2020,WA,13515,NULL,NULL,239,0,NULL,NULL,749,NULL,NULL,11,0
22175,1/25/2021,NH,62768,NULL,NULL,431,123,Not agree,Not agree,990,NULL,NULL,3,1
32217,7/11/2021,WA,456173,NULL,NULL,535,66,NULL,NULL,5999,NULL,NULL,1,0
9384,6/26/2020,MD,66450,NULL,NULL,335,0,NULL,NULL,3261,3129,132,14,0
12838,8/22/2020,WI,74726,70009,4717,975,25,Agree,Agree,1089,1081,8,14,1
10888,7/21/2020,MO,45475,NULL,NULL,1216,13,Not agree,Not agree,1271,NULL,NULL,16,0
14282,9/16/2020,AL,139873,127084,12789,774,130,Agree,Agree,3761,3282,479,28,5
26488,4/7/2021,MO,571951,NULL,NULL,666,272,Not agree,Not agree,8836,NULL,NULL,3,0
33094,7/26/2021,NE,227630,NULL,NULL,322,0,Not agree,Not agree,2272,NULL,NULL,-5,0
20298,12/25/2020,IL,930849,930849,0,5742,0,Agree,Agree,17154,15799,1355,194,38
2784,3/8/2020,MD,3,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0
4210,4/1/2020,DE,451,447,4,37,2,Agree,Agree,11,NULL,NULL,1,NULL
38126,10/18/2021,MI,1229056,1090021,139035,3115,283,Agree,Agree,23017,21609,1408,13,2
13142,8/28/2020,AL,122430,113719,8711,1829,232,Agree,Agree,3292,2888,404,30,9
29778,6/1/2021,IL,1382587,1382587,0,401,0,Agree,Agree,25233,22835,2398,10,2
32275,7/12/2021,VI,4043,NULL,NULL,5,0,NULL,NULL,32,NULL,NULL,0,0
22570,2/1/2021,DE,80037,76178,3859,214,48,Agree,Agree,1101,991,110,11,2
2673,3/6/2020,ND,0,NULL,NULL,0,NULL,Agree,Not agree,0,NULL,NULL,0,NULL
11488,7/31/2020,MO,55735,NULL,NULL,1014,17,Not agree,Not agree,1395,NULL,NULL,14,0
33595,8/3/2021,VI,4691,NULL,NULL,28,0,NULL,NULL,39,NULL,NULL,0,0
15837,10/11/2020,WA,95650,NULL,NULL,848,30,NULL,NULL,2190,NULL,NULL,0,0
2118,2/26/2020,IL,2,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
36088,9/14/2021,MO,791832,NULL,NULL,2743,816,Not agree,Not agree,11022,NULL,NULL,12,0
38133,10/18/2021,ND,142407,122955,19452,923,429,Agree,Not agree,1690,NULL,NULL,10,0
10495,7/14/2020,VI,206,NULL,NULL,0,0,NULL,NULL,6,NULL,NULL,0,0
27018,4/16/2021,IL,1296381,1296381,0,3866,0,Agree,Agree,23920,21630,2290,24,3
1819,2/21/2020,IN,0,NULL,NULL,0,NULL,Not agree,Agree,0,NULL,NULL,0,NULL
917,2/6/2020,ID,0,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
24318,3/2/2021,IL,1189416,1189416,0,1577,0,Agree,Agree,22803,20583,2220,44,-3
30670,6/16/2021,DE,109418,101852,7566,-3,-9,Agree,Agree,1679,1536,143,0,0
33510,8/2/2021,MS,350070,212906,137164,1574,758,Agree,Agree,7791,5379,2412,17,5
18002,11/17/2020,AL,221372,187345,34027,2665,712,Agree,Agree,4986,4244,742,24,7
26844,4/13/2021,MD,430351,NULL,NULL,1552,0,NULL,NULL,9040,8832,208,15,0
34797,8/23/2021,WA,536814,NULL,NULL,2789,499,NULL,NULL,6383,NULL,NULL,9,0
25257,3/17/2021,WA,351862,NULL,NULL,867,158,NULL,NULL,5156,NULL,NULL,7,0
15631,10/8/2020,MT,16677,16677,0,614,0,Agree,Agree,197,197,0,4,0
39014,11/2/2021,GU,18410,NULL,NULL,89,66,Not agree,Not agree,245,NULL,NULL,3,0
35250,8/31/2021,MS,439661,258403,181258,2939,1919,Agree,Agree,8490,5779,2711,31,43
20425,12/27/2020,ME,22320,19129,3191,439,80,Agree,Agree,326,321,5,1,0
6117,5/2/2020,WA,15082,NULL,NULL,377,0,NULL,NULL,830,NULL,NULL,6,0
9566,6/29/2020,MI,123500,112195,11305,1873,204,Agree,Agree,6303,5996,307,10,0
7584,5/27/2020,MD,49709,NULL,NULL,1286,0,NULL,NULL,2536,2419,117,43,0
13890,9/9/2020,MS,91190,84834,6356,566,140,Agree,Agree,3002,2767,235,16,2
5495,4/22/2020,NH,1588,NULL,NULL,97,0,Not agree,Not agree,48,NULL,NULL,6,0
15995,10/14/2020,NH,9349,NULL,NULL,70,27,Not agree,Not agree,458,NULL,NULL,2,1
28655,5/13/2021,NH,97304,NULL,NULL,211,56,Not agree,Not agree,1326,NULL,NULL,4,1
26612,4/9/2021,NC,931517,801319,130198,2023,548,Agree,Agree,12789,11301,1488,8,0
28171,5/5/2021,MT,109455,99329,10126,140,25,Agree,Agree,1578,1578,0,1,0
35845,9/10/2021,ME,80503,57747,22756,574,190,Agree,Agree,961,897,64,2,0
21115,1/7/2021,VI,2130,NULL,NULL,24,0,NULL,NULL,24,NULL,NULL,0,0
2897,3/10/2020,ID,0,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
35957,9/12/2021,ID,233907,186372,47535,330,67,Agree,Agree,2472,2133,339,0,0
8073,6/4/2020,ND,2706,2706,0,27,0,Agree,Not agree,66,NULL,NULL,0,0
31699,7/3/2021,IN,754968,NULL,NULL,244,0,Not agree,Agree,13866,13442,424,13,0
37715,10/11/2021,NH,124845,NULL,NULL,213,0,Not agree,Not agree,1498,NULL,NULL,1,0
1388,2/14/2020,CT,0,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
17337,11/5/2020,WA,115359,NULL,NULL,1126,82,NULL,NULL,2431,NULL,NULL,15,0
19413,12/10/2020,ND,87213,85206,2007,506,35,Agree,Not agree,1130,NULL,NULL,27,0
29484,5/27/2021,MD,459343,NULL,NULL,248,0,NULL,NULL,9592,9380,212,11,-1
25266,3/18/2021,CA,3535534,3535534,0,3038,0,Agree,Agree,55795,55795,0,218,0
9992,7/6/2020,NC,80882,80715,167,763,4,Agree,Agree,1539,1539,0,19,0
17071,11/1/2020,MT,33495,33495,0,694,0,Agree,Agree,376,376,0,1,0
26466,4/7/2021,CA,3586059,3586059,0,2229,0,Agree,Agree,58659,58659,0,118,0
25944,3/29/2021,MD,409978,NULL,NULL,902,0,NULL,NULL,8790,8584,206,9,0
19814,12/17/2020,GU,7193,NULL,NULL,10,1,Not agree,Not agree,119,NULL,NULL,0,0
7111,5/19/2020,MT,478,478,0,8,0,Agree,Agree,16,16,0,0,0
